Index,Date,Time (Local),Day Time,Eyeballs ,Zeroes ,Completed Trips ,Requests ,Unique Drivers,Day,Weighted Trips per Driver,Weighted Average,Weighted average ratio
0,10-Sep-12,07:00:00,10-09-2012 07:00,5,0,2,2,9,Monday,0.44,0.83,26.13/31
1,10-Sep-12,08:00:00,10-09-2012 08:00,6,0,2,2,14,Monday,0.29,0.83,26.13/31
2,10-Sep-12,09:00:00,10-09-2012 09:00,8,3,0,0,14,Monday,0,0.83,26.13/31
3,10-Sep-12,10:00:00,10-09-2012 10:00,9,2,0,1,14,Monday,0,0.83,26.13/31
4,10-Sep-12,11:00:00,10-09-2012 11:00,11,1,4,4,11,Monday,1.45,0.83,26.13/31
5,10-Sep-12,12:00:00,10-09-2012 12:00,12,0,2,2,11,Monday,0.36,0.83,26.13/31
6,10-Sep-12,13:00:00,10-09-2012 13:00,9,1,0,0,9,Monday,0,0.83,26.13/31
7,10-Sep-12,14:00:00,10-09-2012 14:00,12,1,0,0,9,Monday,0,0.83,26.13/31
8,10-Sep-12,15:00:00,10-09-2012 15:00,11,2,1,2,7,Monday,0.14,0.83,26.13/31
9,10-Sep-12,16:00:00,10-09-2012 16:00,11,2,3,4,6,Monday,1.5,0.83,26.13/31
10,10-Sep-12,17:00:00,10-09-2012 17:00,12,2,3,4,4,Monday,2.25,0.83,26.13/31
11,10-Sep-12,18:00:00,10-09-2012 18:00,11,1,3,4,7,Monday,1.29,0.83,26.13/31
12,10-Sep-12,19:00:00,10-09-2012 19:00,13,2,2,3,7,Monday,0.57,0.83,26.13/31
13,10-Sep-12,20:00:00,10-09-2012 20:00,11,1,0,0,5,Monday,0,0.83,26.13/31
14,10-Sep-12,21:00:00,10-09-2012 21:00,11,0,1,1,3,Monday,0.33,0.83,26.13/31
15,10-Sep-12,22:00:00,10-09-2012 22:00,16,3,0,2,4,Monday,0,0.83,26.13/31
16,10-Sep-12,23:00:00,10-09-2012 23:00,21,5,3,3,4,Monday,2.25,0.83,26.13/31
17,11-Sep-12,00:00:00,11-09-2012 00:00,9,3,1,1,3,Tuesday,0.33,0.83,26.13/31
18,11-Sep-12,01:00:00,11-09-2012 01:00,3,2,0,1,3,Tuesday,0,0.83,26.13/31
19,11-Sep-12,02:00:00,11-09-2012 02:00,1,1,0,0,1,Tuesday,0,0.83,26.13/31
20,11-Sep-12,03:00:00,11-09-2012 03:00,1,1,0,0,1,Tuesday,0,0.83,26.13/31
21,11-Sep-12,04:00:00,11-09-2012 04:00,1,1,0,0,1,Tuesday,0,0.83,26.13/31
22,11-Sep-12,05:00:00,11-09-2012 05:00,1,1,0,0,0,Tuesday,0,0.83,26.13/31
23,11-Sep-12,06:00:00,11-09-2012 06:00,7,3,2,3,3,Tuesday,1.33,0.83,26.13/31
24,11-Sep-12,07:00:00,11-09-2012 07:00,10,0,2,2,5,Tuesday,0.8,0.83,26.13/31
25,11-Sep-12,08:00:00,11-09-2012 08:00,11,2,0,0,6,Tuesday,0,0.83,26.13/31
26,11-Sep-12,09:00:00,11-09-2012 09:00,15,2,0,0,6,Tuesday,0,0.83,26.13/31
27,11-Sep-12,10:00:00,11-09-2012 10:00,12,1,1,1,8,Tuesday,0.12,0.83,26.13/31
28,11-Sep-12,11:00:00,11-09-2012 11:00,16,1,0,0,9,Tuesday,0,0.83,26.13/31
29,11-Sep-12,12:00:00,11-09-2012 12:00,5,1,0,0,8,Tuesday,0,0.83,26.13/31
30,11-Sep-12,13:00:00,11-09-2012 13:00,11,2,1,1,7,Tuesday,0.14,0.83,26.13/31
31,11-Sep-12,14:00:00,11-09-2012 14:00,19,1,1,2,5,Tuesday,0.2,0.83,26.13/31
32,11-Sep-12,15:00:00,11-09-2012 15:00,19,1,2,2,9,Tuesday,0.44,0.83,26.13/31
33,11-Sep-12,16:00:00,11-09-2012 16:00,19,3,1,1,7,Tuesday,0.14,0.83,26.13/31
34,11-Sep-12,17:00:00,11-09-2012 17:00,23,5,0,0,9,Tuesday,0,0.83,26.13/31
35,11-Sep-12,18:00:00,11-09-2012 18:00,21,1,7,8,11,Tuesday,4.45,0.83,26.13/31
36,11-Sep-12,19:00:00,11-09-2012 19:00,28,2,8,9,12,Tuesday,5.33,0.83,26.13/31
37,11-Sep-12,20:00:00,11-09-2012 20:00,22,2,7,7,10,Tuesday,4.9,0.83,26.13/31
38,11-Sep-12,21:00:00,11-09-2012 21:00,19,6,5,5,5,Tuesday,5,0.83,26.13/31
39,11-Sep-12,22:00:00,11-09-2012 22:00,26,10,2,6,2,Tuesday,2,0.83,26.13/31
40,11-Sep-12,23:00:00,11-09-2012 23:00,15,12,0,3,1,Tuesday,0,0.83,26.13/31
41,12-Sep-12,00:00:00,12-09-2012 00:00,9,2,0,1,2,Wednesday,0,0.83,26.13/31
42,12-Sep-12,01:00:00,12-09-2012 01:00,6,0,1,1,2,Wednesday,0.5,0.83,26.13/31
43,12-Sep-12,02:00:00,12-09-2012 02:00,3,3,0,1,0,Wednesday,0,0.83,26.13/31
44,12-Sep-12,03:00:00,12-09-2012 03:00,2,2,0,0,0,Wednesday,0,0.83,26.13/31
45,12-Sep-12,04:00:00,12-09-2012 04:00,1,1,0,0,0,Wednesday,0,0.83,26.13/31
46,12-Sep-12,05:00:00,12-09-2012 05:00,1,1,0,1,1,Wednesday,0,0.83,26.13/31
47,12-Sep-12,06:00:00,12-09-2012 06:00,7,2,3,4,3,Wednesday,3,0.83,26.13/31
48,12-Sep-12,07:00:00,12-09-2012 07:00,10,5,2,5,4,Wednesday,1,0.83,26.13/31
49,12-Sep-12,08:00:00,12-09-2012 08:00,28,2,8,8,11,Wednesday,5.82,0.83,26.13/31
50,12-Sep-12,09:00:00,12-09-2012 09:00,25,1,5,6,12,Wednesday,2.08,0.83,26.13/31
51,12-Sep-12,10:00:00,12-09-2012 10:00,25,3,3,4,15,Wednesday,0.6,0.83,26.13/31
52,12-Sep-12,11:00:00,12-09-2012 11:00,29,2,7,8,16,Wednesday,3.06,0.83,26.13/31
53,12-Sep-12,12:00:00,12-09-2012 12:00,32,2,8,8,14,Wednesday,4.57,0.83,26.13/31
54,12-Sep-12,13:00:00,12-09-2012 13:00,23,0,9,9,14,Wednesday,5.79,0.83,26.13/31
55,12-Sep-12,14:00:00,12-09-2012 14:00,25,1,5,6,15,Wednesday,1.67,0.83,26.13/31
56,12-Sep-12,15:00:00,12-09-2012 15:00,26,4,7,11,16,Wednesday,3.06,0.83,26.13/31
57,12-Sep-12,16:00:00,12-09-2012 16:00,27,4,7,7,14,Wednesday,3.5,0.83,26.13/31
58,12-Sep-12,17:00:00,12-09-2012 17:00,19,1,5,7,13,Wednesday,1.92,0.83,26.13/31
59,12-Sep-12,18:00:00,12-09-2012 18:00,24,3,4,4,12,Wednesday,1.33,0.83,26.13/31
60,12-Sep-12,19:00:00,12-09-2012 19:00,20,2,5,6,11,Wednesday,2.27,0.83,26.13/31
61,12-Sep-12,20:00:00,12-09-2012 20:00,20,2,2,3,9,Wednesday,0.44,0.83,26.13/31
62,12-Sep-12,21:00:00,12-09-2012 21:00,29,4,4,4,7,Wednesday,2.29,0.83,26.13/31
63,12-Sep-12,22:00:00,12-09-2012 22:00,18,2,4,5,7,Wednesday,2.29,0.83,26.13/31
64,12-Sep-12,23:00:00,12-09-2012 23:00,14,6,2,5,3,Wednesday,1.33,0.83,26.13/31
65,13-Sep-12,00:00:00,13-09-2012 00:00,11,11,0,2,0,Thursday,0,0.83,26.13/31
66,13-Sep-12,01:00:00,13-09-2012 01:00,6,6,0,1,0,Thursday,0,0.83,26.13/31
67,13-Sep-12,02:00:00,13-09-2012 02:00,5,5,0,3,0,Thursday,0,0.83,26.13/31
68,13-Sep-12,03:00:00,13-09-2012 03:00,2,2,0,2,0,Thursday,0,0.83,26.13/31
69,13-Sep-12,04:00:00,13-09-2012 04:00,1,1,0,0,0,Thursday,0,0.83,26.13/31
70,13-Sep-12,05:00:00,13-09-2012 05:00,1,1,0,1,0,Thursday,0,0.83,26.13/31
71,13-Sep-12,06:00:00,13-09-2012 06:00,4,1,2,2,2,Thursday,2,0.83,26.13/31
72,13-Sep-12,07:00:00,13-09-2012 07:00,10,1,1,1,4,Thursday,0.25,0.83,26.13/31
73,13-Sep-12,08:00:00,13-09-2012 08:00,9,1,1,1,8,Thursday,0.12,0.83,26.13/31
